epoch,loss,psnr
0,0.011008292,26.66640816
1,0.002391442,28.55941086
2,0.002198257,29.33200264
3,0.00205792,29.82858963
4,0.001941655,30.20122147
5,0.001852852,30.47068138
6,0.001791167,30.65168266
7,0.00175055,30.76619568
8,0.001724122,30.84057922
9,0.001706373,30.88803711
10,0.001694202,30.91996765
11,0.001685529,30.94168167
12,0.001679324,30.95705223
13,0.001674425,30.96847649
14,0.001670537,30.97694473
15,0.001667281,30.98360252
16,0.001664345,30.99004745
17,0.001661566,30.99418793
18,0.001658992,30.99807358
19,0.001656523,31.00246811
20,0.001654009,31.00764885
21,0.001651659,31.01443977
22,0.001649247,31.02025261
23,0.001646975,31.02826729
24,0.001644786,31.03550072
25,0.001642474,31.04244804
26,0.001640339,31.04981308
27,0.001638235,31.05652504
28,0.001636129,31.06321793
29,0.00163397,31.06904945
30,0.001631931,31.07544022
31,0.001629872,31.08168945
32,0.001627759,31.0887928
33,0.001625525,31.09620743
34,0.001623403,31.1050869
35,0.00162137,31.11386833
36,0.001619545,31.12391815
37,0.001617506,31.13354149
38,0.001615726,31.1436985
39,0.001613838,31.15247726
40,0.001612024,31.16163788
41,0.001610198,31.16966705
42,0.001608673,31.17742615
43,0.001607012,31.18364639
44,0.001605471,31.19021072
45,0.001603972,31.19562569
46,0.001602388,31.20129471
47,0.001601046,31.20585442
48,0.001599686,31.2102459
49,0.001598124,31.21539001
50,0.0015964,31.22341347
51,0.001595191,31.2301384
52,0.001594016,31.23716774
53,0.00159282,31.24270973
54,0.001591442,31.24836884
55,0.001590307,31.25437775
56,0.001589153,31.25929604
57,0.001588108,31.26405945
58,0.001587236,31.26584167
59,0.001586233,31.27156372
60,0.001585241,31.27482605
61,0.001584399,31.27847748
62,0.001583543,31.28133354
63,0.001582733,31.28382454
64,0.001581934,31.2870697
65,0.00158119,31.28995552
66,0.001580284,31.29219284
67,0.001579522,31.29664154
68,0.00157884,31.2979702
69,0.001578164,31.30086327
70,0.0015773,31.30547638
71,0.001576613,31.30683289
72,0.00157597,31.31081924
73,0.001575261,31.31345444
74,0.001574652,31.31725922
75,0.001573886,31.32002525
76,0.00157326,31.32060547
77,0.00157239,31.32400055
78,0.001571859,31.33006096
79,0.00157128,31.33339729
80,0.001570688,31.33801537
81,0.001570056,31.34127007
82,0.001569465,31.34479256
83,0.001568878,31.34726105
84,0.001568264,31.34916763
85,0.001567563,31.35316772
86,0.001566934,31.35677109
87,0.001566378,31.35924454
88,0.001565885,31.36200256
89,0.001565234,31.36413689
90,0.00156465,31.36652641
91,0.001564101,31.36869316
92,0.001563536,31.37041893
93,0.001562981,31.37274857
94,0.001562413,31.37451859
95,0.001561816,31.37611732
96,0.001561248,31.37878075
97,0.001560703,31.38078804
98,0.001560054,31.3826683
99,0.001559628,31.38491516
100,0.001558918,31.3864357
101,0.00155836,31.38808708
102,0.001557783,31.39058037
103,0.001557143,31.39194717
104,0.001556554,31.39420662
105,0.001556033,31.39665604
106,0.001555422,31.39798088
107,0.001554855,31.40021858
108,0.001554289,31.40124016
109,0.001553646,31.40225754
110,0.001553033,31.40558701
111,0.001552364,31.40788231
112,0.001551799,31.4102787
113,0.001551196,31.41083641
114,0.001550542,31.41306686
115,0.001550097,31.41624069
116,0.0015493,31.41802406
117,0.001548783,31.41993637
118,0.001548222,31.42063751
119,0.001547579,31.42409859
120,0.00154713,31.42650833
121,0.001546556,31.42884216
122,0.001545984,31.42939415
123,0.001545318,31.43177147
